LGA_NAME,COUNCIL_FULL_NAME,WEBSITE_URL,LOCAL_LAWS_PAGE_URL,PLANNING_PAGE_URL,PHONE,CONTACT_EMAIL,LOCAL_LAW_NUMBER,LOCAL_LAW_YEAR,SIZE_THRESHOLD_CIRCUMFERENCE_M,SIZE_THRESHOLD_HEIGHT_M,INDIGENOUS_TREES_PROTECTED,PRUNING_THRESHOLD_PERCENT,PERMIT_FEE_STANDARD,PERMIT_FEE_CONCESSION,PROCESSING_DAYS_MIN,PROCESSING_DAYS_MAX,EXEMPTION_DEAD_DYING,EXEMPTION_EMERGENCY,EXEMPTION_FIRE_PREVENTION,EXEMPTION_FRUIT_TREES,OTHER_EXEMPTIONS,REPLACEMENT_RATIO,ARBORIST_REPORT_REQUIRED,PENALTIES_MIN,PENALTIES_MAX,NOTES,VERIFICATION_STATUS,VERIFIED_DATE,VERIFIED_BY,SOURCE_URL_1,SOURCE_URL_2
Boroondara,City of Boroondara,https://www.boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/services/planning-and-building/building/works-permits/trees-and-construction/tree-works-permits,https://www.boroondara.vic.gov.au/planning-and-building,(03) 9278 4444,,Tree Protection Local Law (current),2024,1.10 at 1.4m OR 1.50 at ground,,,,,,,,,Yes,,,Works within 2m/TPZ controls (see page),,Yes,,,Permit needed to prune/remove/works near tree that meets canopy thresholds.,VERIFIED,2025-10-23,Adam (review),https://www.boroondara.vic.gov.au/services/planning-and-building/building/works-permits/trees-and-construction/tree-works-permits,
Glen Eira,Glen Eira City Council,https://www.gleneira.vic.gov.au,https://www.gleneira.vic.gov.au/services/planning-and-building/building/permits/canopy-tree-protection,https://www.gleneira.vic.gov.au/services/planning-and-building,(03) 9524 3333,,Canopy Tree Protection Local Law,2024–2025 (current web update),1.40 (at ground or 1.4m; multi-stem combined 1.40),5 (tree); 8 (palm),,10.0,$0 (permit free),,,14.0,,Yes (storm hazard make-safe),,,Minor pruning up to 10% canopy; branches ≤10 cm circumference,,Case-by-case,,,References Clause 52.37 (Canopy Trees) alignment.,VERIFIED,2025-10-23,Adam (review),https://www.gleneira.vic.gov.au/services/planning-and-building/building/permits/canopy-tree-protection,
Port Phillip,City of Port Phillip,https://www.portphillip.vic.gov.au,https://www.portphillip.vic.gov.au/planning-and-building/construction-permits/significant-tree-permit,https://www.portphillip.vic.gov.au/planning-and-building,(03) 9209 6777,,Community Amenity Local Law 2023 (Clause 55),2023,1.50 at 1.0m (multi-stem rule applies),,,,,,,,,Some exemptions (see Local Law),,,See Community Amenity Local Law 2023,,Case-by-case,,,Significant Tree Permit required in addition to any Planning Permit if applicable.,VERIFIED,2025-10-23,Adam (review),https://www.portphillip.vic.gov.au/planning-and-building/construction-permits/significant-tree-permit,
Yarra,City of Yarra,https://www.yarracity.vic.gov.au,https://www.yarracity.vic.gov.au/residents/plants-and-trees/significant-trees,https://www.yarracity.vic.gov.au/planning-building,(03) 9205 5555,,General Local Law 2016 – Significant Trees,2016,1.2566 (equiv. to 0.40 m diameter),,,,,,,,,,,,Two triggers: 40cm diameter OR on Urban Forest/Significant Tree Register,,Case-by-case,,,Measure at ground or 1.5m.,VERIFIED,2025-10-23,Adam (review),https://www.yarracity.vic.gov.au/residents/plants-and-trees/significant-trees,
Melbourne,City of Melbourne,https://www.melbourne.vic.gov.au,https://www.melbourne.vic.gov.au/exceptional-tree-register,https://www.melbourne.vic.gov.au/building-and-development,(03) 9658 9658,,No private tree local law (ETR via Planning),,,,,,,,,,,,,,Private trees protected where listed on Exceptional Tree Register (Planning controls apply),,Case-by-case (Planning),,,Council states it does not have authority over private trees except via ETR planning controls.,VERIFIED,2025-10-23,Adam (review),https://www.melbourne.vic.gov.au/exceptional-tree-register,
Bayside,Bayside City Council,https://www.bayside.vic.gov.au,https://www.bayside.vic.gov.au/services/trees-parks-and-beaches/apply-local-law-tree-pruning-or-removal-permit,https://www.bayside.vic.gov.au/planning-and-building,(03) 9599 4444,,Local Law (private trees),current,1.55 at 1.0m (single or combined; multi-trunk add 4 largest),,,10.0,,,,,,,,,,,Case-by-case,,,Clause 52.37 (Canopy Trees) referenced on page.,VERIFIED,2025-10-23,Adam (review),https://www.bayside.vic.gov.au/services/trees-parks-and-beaches/apply-local-law-tree-pruning-or-removal-permit,
Stonnington,City of Stonnington,https://www.stonnington.vic.gov.au,https://www.stonnington.vic.gov.au/Services/Trees-and-nature-strips/Tree-Works-Permit,https://www.stonnington.vic.gov.au/Planning-and-building,(03) 8290 1333,,General Local Law – Significant Trees,current,,,,,,,,,,,,,Tree Protection Zone works also controlled,,Case-by-case,,,Permit required to prune/remove/undertake works on or near a Significant Tree.,VERIFIED,2025-10-23,Adam (review),https://www.stonnington.vic.gov.au/Services/Trees-and-nature-strips/Tree-Works-Permit,
Merri-bek,Merri-bek City Council (formerly Moreland),https://www.merri-bek.vic.gov.au,https://www.merri-bek.vic.gov.au/living-in-merri-bek/environment/trees/trees-on-private-property/,https://www.merri-bek.vic.gov.au/building-and-business/planning/,(03) 9240 1111,,Local Law – Mature/Significant Tree permit,current,,,,15.0,,,,,,,,,Planning permit takes precedence if required,,Case-by-case,,,Tree Works Permit needed to prune >15% canopy or remove where tree is mature/significant or protected via planning.,VERIFIED,2025-10-23,Adam (review),https://www.merri-bek.vic.gov.au/living-in-merri-bek/environment/trees/trees-on-private-property/,https://conversations.merri-bek.vic.gov.au/significant-tree-register
Whittlesea,City of Whittlesea,https://www.whittlesea.vic.gov.au,https://www.whittlesea.vic.gov.au/Environment/Trees-and-plants/Pruning-or-removing-a-tree-on-private-property,https://www.whittlesea.vic.gov.au/Planning-and-building,(03) 9217 2170,,(Planning scheme controls; no specific private-tree local law published),,,,Yes (Native vegetation provisions),,,,,,,,,,See Whittlesea Planning Scheme / native vegetation,,Case-by-case (planning),,,Council page directs residents to check Planning Scheme and native vegetation controls for permits.,VERIFIED,2025-10-23,Adam (review),https://www.whittlesea.vic.gov.au/Environment/Trees-and-plants/Pruning-or-removing-a-tree-on-private-property,
Banyule,Banyule City Council,https://www.banyule.vic.gov.au,https://www.banyule.vic.gov.au/Planning-building/Protection-for-trees-and-vegetation,https://www.banyule.vic.gov.au/Planning-building,(03) 9490 4222,,(Planning overlays; no separate private-tree Local Law),,,,Yes (via overlays/species),,,,,,,,,,See Banyule Planning Scheme (VPO/SLO/HO etc.),,Case-by-case (planning),,,Council states tree protection via planning overlays; check VicPlan or council mapping.,VERIFIED,2025-10-23,Adam (review),https://www.banyule.vic.gov.au/Planning-building/Protection-for-trees-and-vegetation,
Monash,City of Monash,https://www.monash.vic.gov.au,https://www.monash.vic.gov.au/Residents-Property/Trees-and-Nature-Strips/Tree-Management,https://www.monash.vic.gov.au/Planning-building,(03) 9518 3555,,(Planning overlays incl. VPO),,,,Yes (via planning/native veg),,,,,,,,,,Check VPO/ESO/HO conditions,,Case-by-case (planning),,,Council page covers tree management; private-tree permits typically via VPO planning controls.,VERIFIED,2025-10-23,Adam (review),https://www.monash.vic.gov.au/Residents-Property/Trees-and-Nature-Strips/Tree-Management,
Kingston,City of Kingston,https://www.kingston.vic.gov.au,https://www.kingston.vic.gov.au/environment/trees-plants-and-nature-strips/private-trees,https://www.kingston.vic.gov.au/planning-and-building,1300 653 356,,Local Law permit (Private Trees) + Significant Tree Register,current,(not stated on page; permit required per assessment),,Case-by-case,,,,,,Case-by-case,Case-by-case,,,Significant Tree Register also applies,,Case-by-case,,,Use 'Private trees' page for permit; owner's consent form available.,VERIFIED,2025-10-23,Adam (review),https://www.kingston.vic.gov.au/environment/trees-plants-and-nature-strips/private-trees,https://www.kingston.vic.gov.au/environment/trees-plants-and-nature-strips/significant-tree-register
Frankston,Frankston City Council,https://www.frankston.vic.gov.au,https://www.frankston.vic.gov.au/Community-and-Health/Environment/Trees-and-vegetation/Request-Local-Law-permit-for-pruning-or-removal-of-a-private-tree,https://www.frankston.vic.gov.au/Planning-and-Building/Planning,1300 322 322,,Local Law (superseded by planning for canopy trees in res/mixed zones),2024 update,(planning canopy tree controls apply),,,,,,,,Per planning exemptions,Per planning exemptions,Yes (Clause 52.12),,See Planning FAQs,,Case-by-case (planning),,,Planning permit process now replaces Local Law for canopy trees in res/mixed zones.,VERIFIED,2025-10-23,Adam (review),https://www.frankston.vic.gov.au/Community-and-Health/Environment/Trees-and-vegetation/Request-Local-Law-permit-for-pruning-or-removal-of-a-private-tree,https://www.frankston.vic.gov.au/Planning-and-Building/Planning/Planning-FAQs/Removing-clearing-destroying-lopping-or-pruning-trees-or-vegetation
Greater Dandenong,City of Greater Dandenong,https://www.greaterdandenong.vic.gov.au,https://www.greaterdandenong.vic.gov.au/tree-removal,https://www.greaterdandenong.vic.gov.au/planning-and-building,(03) 8571 1000,,Tree Protection on Private Land Local Law 2023,2023,0.40 diameter at 1.4m (per policy/news),,Yes (if meet threshold/criteria),,$113 per tree (noted 2023/24; waived before 1 July 2024),,,,Yes (per policy),Yes,,,See policy PDF,,Case-by-case,,,Policy and Local Law in effect; application form live.,VERIFIED,2025-10-23,Adam (review),https://www.greaterdandenong.vic.gov.au/tree-removal,https://www.greaterdandenong.vic.gov.au/_flysystem/filerepo/A10456426
Casey,City of Casey,https://www.casey.vic.gov.au,https://www.casey.vic.gov.au/policies-strategies/casey-significant-tree-strategy-incorporating-significant-tree-register,https://www.casey.vic.gov.au/Planning-and-building,(03) 9705 5200,,Significant Tree Strategy (register) + planning controls,2015+ (strategy),(register-based; planning overlays apply),,If listed/overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,See Planning Scheme / Strategy,,Case-by-case (planning),,,Significant Tree Strategy and Register; protection generally via planning overlays.,VERIFIED,2025-10-23,Adam (review),https://www.casey.vic.gov.au/policies-strategies/casey-significant-tree-strategy-incorporating-significant-tree-register,https://www.casey.vic.gov.au/policies-strategies/city-of-casey-tree-guide
Hume,Hume City Council,https://www.hume.vic.gov.au,https://www.hume.vic.gov.au/Residents/Environment/Street-and-Reserve-Trees,https://www.hume.vic.gov.au/Building-and-Planning/Building-and-Renovations/Building-Permits-Applications-and-Building-Regulations,(03) 9205 2200,,(No private-tree local law page; planning/overlays),,,,,,,,,,Per planning,Per planning,Yes (Clause 52.12),,Refer overlays; Draft Tree Management Policy for street trees,,Case-by-case (planning),,,Street/reserve trees policy; private-tree permits guided by planning overlays.,VERIFIED,2025-10-23,Adam (review),https://www.hume.vic.gov.au/Residents/Environment/Street-and-Reserve-Trees,https://www.hume.vic.gov.au/files/sharedassets/public/v/3/your-council/policies-and-report/council-policies/tree-management-policy.pdf
Moonee Valley,Moonee Valley City Council,https://mvcc.vic.gov.au,https://mvcc.vic.gov.au/download/tree-and-canopy-protection-guidelines/?masterkey=5ed6e846762bb&wpdmdl=16954,https://mvcc.vic.gov.au/work/my-development/planning-applications-and-permits/,(03) 9243 8888,,Tree and Canopy Protection Guidelines (Significant/Canopy trees),current,(see guidelines; canopy vs significant definitions),,If significant/listed,,,,,,,,,,Works within TPZ/SRZ controlled,,Likely for development/near trees,,,Use guidelines + planning processes.,VERIFIED,2025-10-23,Adam (review),https://mvcc.vic.gov.au/download/tree-and-canopy-protection-guidelines/?masterkey=5ed6e846762bb&wpdmdl=16954,https://mvcc.vic.gov.au/work/my-development/planning-applications-and-permits/
Maribyrnong,Maribyrnong City Council,https://www.maribyrnong.vic.gov.au,https://www.maribyrnong.vic.gov.au/Building-and-Planning/Planning-Services/Current-and-future-planning/Significant-Tree-Register,https://www.maribyrnong.vic.gov.au/Building-and-Planning/Planning-Services/Planning-permits,(03) 9688 0200,,Significant Tree Register + ESO via Amendment C163,"2021 (register), 2022 (ESO)",(register based),,If listed/overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,ESO for approx. 80 registered trees,,Case-by-case (planning),,,Permanent ESO in effect 10 Feb 2022.,VERIFIED,2025-10-23,Adam (review),https://www.maribyrnong.vic.gov.au/Building-and-Planning/Planning-Services/Current-and-future-planning/Significant-Tree-Register,https://www.maribyrnong.vic.gov.au/Building-and-Planning/Planning-Services/Current-and-future-planning/Planning-Scheme-Amendments/Recently-determined-planning-scheme-amendments/Planning-Scheme-Amendment-C163
Hobsons Bay,Hobsons Bay City Council,https://www.hobsonsbay.vic.gov.au,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-and-requests/Tree-protection-and-local-law,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-and-requests/Tree-Removals,(03) 9932 1000,,Tree protection and Local Law (private tree permits),current,(not stated; permit assessment),,,,,,,,Yes (per policy),Yes,Yes (Clause 52.12),,See Tree Policy 2021,,Case-by-case,,,See 'Tree protection and local law' page for private permits.,VERIFIED,2025-10-23,Adam (review),https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-and-requests/Tree-protection-and-local-law,https://www.hobsonsbay.vic.gov.au/Services/Trees-and-nature-strips/Tree-planting-and-requests/Tree-Removals
Brimbank,Brimbank City Council,https://www.brimbank.vic.gov.au,https://records.brimbank.vic.gov.au/ExternalLinkAPI/api/document/?docKey=djNoUnRicVZpcEpqV3I2ZXFaY2l4OGlOdXA1Z3FWSWRsN0VOMS9SMStuTWQxWDQxck1UQmw3V1FRY2tGc0NvbA2,https://www.brimbank.vic.gov.au/planning-and-building,(03) 9249 4000,,Significant Tree Policy (under General Local Law 2018),2021,(per policy; register-based definitions),,If significant/listed,,,,,,Per policy,Per policy,,,Register to be established; Tree Work Permit required for listed trees,,Case-by-case,,,Policy aligns with General Local Law 2018 Clause 9.,VERIFIED,2025-10-23,Adam (review),https://records.brimbank.vic.gov.au/ExternalLinkAPI/api/document/?docKey=djNoUnRicVZpcEpqV3I2ZXFaY2l4OGlOdXA1Z3FWSWRsN0VOMS9SMStuTWQxWDQxck1UQmw3V1FRY2tGc0NvbA2,https://www.brimbank.vic.gov.au/living-here/our-environment/trees-and-naturestrips-brimbank/street-and-park-trees
Nillumbik,Nillumbik Shire Council,https://www.nillumbik.vic.gov.au,https://www.nillumbik.vic.gov.au/Develop/Planning/Planning-advice/Remove-lop-or-prune-trees-and-native-vegetation,https://www.nillumbik.vic.gov.au/Develop/Planning-permits-and-building-permits,(03) 9433 3111,,(Private trees controlled primarily via planning overlays),,,,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,10P/10FP application pathways,,Often (see checklist),,,Checklist 10P outlines arborist report requirements; see also vegetation removal from Council land page.,VERIFIED,2025-10-23,Adam (review),https://www.nillumbik.vic.gov.au/Develop/Planning/Planning-advice/Remove-lop-or-prune-trees-and-native-vegetation,https://www.nillumbik.vic.gov.au/Develop/Planning/Planning-application-checklists/Planning-application-checklist-application-type-10P
Maroondah,Maroondah City Council,https://www.maroondah.vic.gov.au,https://www.maroondah.vic.gov.au/Development/Planning/Do-I-need-a-planning-permit/Tree-and-native-vegetation-removal,https://www.maroondah.vic.gov.au/Customer-service/Forms-and-permits,1300 882 233,,(Tree controls via SLO/VPO planning overlays),,,,Yes (via overlays),(Whitehorse has 10%; Maroondah page does not state % — leave blank),,,,,Dangerous tree exemption under SLO (see page),Yes,Yes (Clause 52.12),,,,Sometimes (statutory planning),,,Use planning application for removal; dangerous tree exemption outlined.,VERIFIED,2025-10-23,Adam (review),https://www.maroondah.vic.gov.au/Development/Planning/Do-I-need-a-planning-permit/Tree-and-native-vegetation-removal,https://www.maroondah.vic.gov.au/Development/Planning/Do-I-need-a-planning-permit/Tree-and-native-vegetation-removal/Is-that-tree-dangerous
Yarra Ranges,Yarra Ranges Council,https://www.yarraranges.vic.gov.au,https://www.yarraranges.vic.gov.au/Our-services/Trees-and-vegetation/Remove-a-tree-on-private-land,https://www.yarraranges.vic.gov.au/Our-services/Planning-building-and-development/Applications-permits-and-certificates,1300 368 333,,(Planning permit required except where exempt),,,,Yes (native veg provisions),,,,,,Yes (per exemptions),Yes,Yes (Clause 52.12),,,,Often required (see Arborist Report page),,,Contact planning for private tree removal; see Arborist Report checklist.,VERIFIED,2025-10-23,Adam (review),https://www.yarraranges.vic.gov.au/Our-services/Trees-and-vegetation/Remove-a-tree-on-private-land,https://www.yarraranges.vic.gov.au/Our-services/Planning-building-and-development/Planning/Preparing-your-application/Application-checklist-what-you-need-to-include/Arborist-Report
Whitehorse,Whitehorse City Council,https://www.whitehorse.vic.gov.au,https://www.whitehorse.vic.gov.au/planning-building/do-i-need-permit/tree-removal-lopping-and-pruning,https://www.whitehorse.vic.gov.au/planning-building,(03) 9262 6333,,(Tree controls via SLO/VPO overlays),,≥0.50 circumference @1m (in many SLO schedules) — confirm per overlay,,Yes (overlays/native veg),10 (pruning ≥10% canopy requires permit under overlay),,,,,Yes (to satisfaction of authority),Yes,Yes (Clause 52.12),,Works within 4 m of tree may require permit,,Often,,,Whitehorse page states 10% canopy pruning threshold; check SLO schedule for circumference triggers.,VERIFIED,2025-10-23,Adam (review),https://www.whitehorse.vic.gov.au/planning-building/do-i-need-permit/tree-removal-lopping-and-pruning/lopping-and-pruning,https://www.whitehorse.vic.gov.au/planning-building/do-i-need-permit/tree-removal-lopping-and-pruning
Knox,Knox City Council,https://www.knox.vic.gov.au,https://www.knox.vic.gov.au/our-services/building-and-planning/planning/land-and-development/tree-removal-and-pruning,https://www.knox.vic.gov.au/planning-building,(03) 9298 8000,,(Planning overlays apply; permit often required),,,,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,Foothills area commonly controlled,,Case-by-case,,,Council page states planning permit required for removal/pruning in many cases.,VERIFIED,2025-10-23,Adam (review),https://www.knox.vic.gov.au/our-services/building-and-planning/planning/land-and-development/tree-removal-and-pruning,
Manningham,Manningham City Council,https://www.manningham.vic.gov.au,https://www.manningham.vic.gov.au/property-and-development/guides-and-maps/trees/remove-tree-your-property,https://www.manningham.vic.gov.au/planning-and-building,(03) 9840 9333,,(Planning overlays SLO/VPO/ESO),,(overlay specific),,Yes (overlay/native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,See Mapping Manningham,,Often,,,Use Mapping Manningham to check overlays before applying.,VERIFIED,2025-10-23,Adam (review),https://www.manningham.vic.gov.au/property-and-development/guides-and-maps/trees/remove-tree-your-property,
Cardinia,Cardinia Shire Council,https://www.cardinia.vic.gov.au,https://www.cardinia.vic.gov.au/info/93/planning/272/removing_vegetation_trees_and_other_plants_from_your_property,https://www.cardinia.vic.gov.au/planning,1300 787 624,,(Planning + Local Law may apply),current,(overlay/native veg dependent),,Yes (native vegetation provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,VPO/SLO/ESO schedules apply,,Case-by-case,,,Official page explains permits for removing vegetation (native or exotic).,VERIFIED,2025-10-23,Adam (review),https://www.cardinia.vic.gov.au/info/93/planning/272/removing_vegetation_trees_and_other_plants_from_your_property,
Greater Geelong,City of Greater Geelong,https://www.geelongaustralia.com.au,https://www.geelongaustralia.com.au/trees/article/item/8cd0b6d64364bee.aspx,https://www.geelongaustralia.com.au/planning,(03) 5272 5272,,(Planning scheme controls apply on many properties),current,(overlay dependent),,If native veg / overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,Significant trees may be on register/protected via overlays,,Case-by-case,,,Council page states statutory planning provisions may restrict private tree removal.,VERIFIED,2025-10-23,Adam (review),https://www.geelongaustralia.com.au/trees/article/item/8cd0b6d64364bee.aspx,
Surf Coast,Surf Coast Shire Council,https://www.surfcoast.vic.gov.au,https://www.surfcoast.vic.gov.au/Environment/Natural-environment/Native-Vegetation-Planning-and-Protection,https://www.surfcoast.vic.gov.au/Property/Planning,(03) 5261 0600,,(Planning scheme controls native vegetation & overlays),current,(overlay/native veg dependent),,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,ESO/SLO/VPO schedules apply,,"Often, depending on application",,,Native vegetation/overlay triggers clearly listed on council page.,VERIFIED,2025-10-23,Adam (review),https://www.surfcoast.vic.gov.au/Environment/Natural-environment/Native-Vegetation-Planning-and-Protection,https://www.surfcoast.vic.gov.au/Property/Planning
Ballarat,City of Ballarat,https://www.ballarat.vic.gov.au,https://www.ballarat.vic.gov.au/building-and-business/planning/planning-checklists-and-resources,https://www.ballarat.vic.gov.au/building-and-business/planning,(03) 5320 5500,,(Tree removal via planning permits; see checklists),current (checklists),(overlay dependent),,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,VicSmart path may apply for some tree works,,Often (per checklist),,,Checklist 7: remove/destroy/lop one tree (planning application requirements).,VERIFIED,2025-10-23,Adam (review),https://www.ballarat.vic.gov.au/building-and-business/planning/planning-checklists-and-resources,https://www.ballarat.vic.gov.au/sites/default/files/2019-05/Planning%20checklist_7_-__remove__destroy_or_lop_one_tree.pdf
Melton,Melton City Council,https://www.melton.vic.gov.au,https://www.melton.vic.gov.au/Services/Building-Planning-Transport/Statutory-planning/Planning-permits,https://www.melton.vic.gov.au/Services/Building-Planning-Transport/Statutory-planning/Planning-permits,(03) 9747 7200,,(No stand-alone private-tree local law; planning governs),current,(overlay/native veg dependent),,If native veg / overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Case-by-case,,,Planning permits page covers vegetation/tree removal.,VERIFIED,2025-10-23,Adam (review),https://www.melton.vic.gov.au/Services/Building-Planning-Transport/Statutory-planning/Planning-permits,
Wyndham,Wyndham City Council,https://www.wyndham.vic.gov.au,https://www.wyndham.vic.gov.au/services/building-planning/do-i-need-approval/planning-frequently-asked-questions,https://www.wyndham.vic.gov.au/services/building-planning/do-i-need-approval,1300 023 411,,Community Amenity Local Law (no private-tree clause); planning controls apply,current (FAQ page),(overlay dependent),,If native veg / overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,Significant Tree Register may apply,,Case-by-case,,,Local Law Review page notes no clause for private tree removal; planning scheme controls.,VERIFIED,2025-10-23,Adam (review),https://theloop.wyndham.vic.gov.au/local-law-review/tree-removal,https://www.wyndham.vic.gov.au/services/building-planning/do-i-need-approval/planning-frequently-asked-questions
Greater Bendigo,City of Greater Bendigo,https://www.bendigo.vic.gov.au,https://www.bendigo.vic.gov.au/building-and-business/planning/planning-checklists-and-resources,https://www.bendigo.vic.gov.au/building-and-business/planning/planning-permit-process/vicsmart-permit-process,(03) 5434 6000,,"(Tree works via planning; see checklists, VicSmart)",current,(overlay dependent),,Yes (native veg provisions),,,,,10 (VicSmart target),Per planning,Per planning,Yes (Clause 52.12),,,,Often,,,Council checklists include 'Removal of native vegetation'; VicSmart outlines quicker decisions for eligible applications.,VERIFIED,2025-10-23,Adam (review),https://www.bendigo.vic.gov.au/building-and-business/planning/planning-checklists-and-resources,https://www.bendigo.vic.gov.au/building-and-business/planning/planning-permit-process/vicsmart-permit-process
