LGA_NAME,COUNCIL_FULL_NAME,WEBSITE_URL,LOCAL_LAWS_PAGE_URL,PLANNING_PAGE_URL,PHONE,CONTACT_EMAIL,LOCAL_LAW_NUMBER,LOCAL_LAW_YEAR,SIZE_THRESHOLD_CIRCUMFERENCE_M,SIZE_THRESHOLD_HEIGHT_M,INDIGENOUS_TREES_PROTECTED,PRUNING_THRESHOLD_PERCENT,PERMIT_FEE_STANDARD,PERMIT_FEE_CONCESSION,PROCESSING_DAYS_MIN,PROCESSING_DAYS_MAX,EXEMPTION_DEAD_DYING,EXEMPTION_EMERGENCY,EXEMPTION_FIRE_PREVENTION,EXEMPTION_FRUIT_TREES,OTHER_EXEMPTIONS,REPLACEMENT_RATIO,ARBORIST_REPORT_REQUIRED,PENALTIES_MIN,PENALTIES_MAX,NOTES,VERIFICATION_STATUS,VERIFIED_DATE,VERIFIED_BY,SOURCE_URL_1,SOURCE_URL_2
Macedon Ranges,Macedon Ranges Shire Council,https://www.mrsc.vic.gov.au,https://www.mrsc.vic.gov.au/About-Council/Laws-Regulations/Trees-Vegetation,https://www.mrsc.vic.gov.au/Build-Plan/Planning-Permits-Approvals-Forms/Planning-Forms-and-Fees,(03) 5422 0333,,(Private trees are a property owner responsibility; planning may apply),current,(overlay dependent),,If native veg / overlay,,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Case-by-case,,,Council page clarifies private tree responsibility; refer to planning for permits and fees.,VERIFIED,2025-10-23,Adam (review),https://www.mrsc.vic.gov.au/About-Council/Laws-Regulations/Trees-Vegetation,https://www.mrsc.vic.gov.au/Build-Plan/Planning-Permits-Approvals-Forms/Planning-Forms-and-Fees
Darebin,City of Darebin,https://www.darebin.vic.gov.au,https://www.darebin.vic.gov.au/Waste-environment-and-climate/Trees/Trees-on-private-property,https://www.darebin.vic.gov.au/Waste-environment-and-climate/Trees,(03) 8470 8888,,Tree Protection on Private Property Local Law No. 01 of 2019,2019,(see Local Law PDF – significant tree definitions),,If significant / planning overlay,,,,,,As per Local Law/Planning,Yes,Yes (Clause 52.12),,Planning overlays (VPO/ESO/HO) also apply,,Case-by-case,,,Council uses both Planning Scheme and Local Law to protect significant trees.,VERIFIED,2025-10-23,Adam (review),https://www.darebin.vic.gov.au/files/assets/public/v/1/about-council/documents/treeprotectiononprivatepropertylocallaw2019.pdf,https://www.darebin.vic.gov.au/Waste-environment-and-climate/Trees/Trees-on-private-property
Latrobe,Latrobe City Council,https://www.latrobe.vic.gov.au,https://www.latrobe.vic.gov.au/City/Roads_Drains_Lights_and_Trees/Trees/Removal_of_Native_Vegetation,https://www.latrobe.vic.gov.au/Property/Planning/Planning_Permits,1300 367 700,,(Native vegetation removal via Planning Scheme),current,(overlay/native veg dependent),,Yes (native vegetation),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often,,,Council administers native vegetation protections under the Planning Scheme.,VERIFIED,2025-10-23,Adam (review),https://www.latrobe.vic.gov.au/City/Roads_Drains_Lights_and_Trees/Trees/Removal_of_Native_Vegetation,https://www.latrobe.vic.gov.au/Property/Planning/Planning_Permits
Bass Coast,Bass Coast Shire Council,https://www.basscoast.vic.gov.au,https://www.basscoast.vic.gov.au/community-support-services/local-laws/significant-trees-and-protected-trees,https://www.basscoast.vic.gov.au/building-planning/do-i-need-a-planning-permit-2/what-do-i-need-a-planning-permit-for-2/trees-and-vegetation,1300 226 278,,Local Law permits for Significant/Protected Trees,current,(register/definitions on council site),,If Protected/Significant or planning overlay,,,,,,Emergency make-safe allowed (per planning page),Yes (immediate risk),Yes (Clause 52.12),,See PDF 'Permits to remove trees/vegetation on private property',,Case-by-case,,,Significant Tree Register and Protected Tree categories apply.,VERIFIED,2025-10-23,Adam (review),https://www.basscoast.vic.gov.au/assets/general-downloads/Local-Laws/Permits-to-remove-trees-vegetation-on-private-property.pdf,https://www.basscoast.vic.gov.au/community-support-services/local-laws/significant-trees-and-protected-trees
Baw Baw,Baw Baw Shire Council,https://www.bawbawshire.vic.gov.au,https://www.bawbawshire.vic.gov.au/Plan-and-Build/Planning-permits,https://www.bawbawshire.vic.gov.au/Plan-and-Build/Planning-permits/Permit-Information/Your-Planning-Permit,(03) 5624 2411,,(Planning scheme tree controls; Tree Management Policy for public land),2024 (policy date),(overlay dependent),,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often (planning),,,Private trees generally via Planning Scheme; Tree Management Policy applies to public land trees.,VERIFIED,2025-10-23,Adam (review),https://www.bawbawshire.vic.gov.au/Plan-and-Build/Planning-permits,https://www.bawbawshire.vic.gov.au/files/sharedassets/public/v/1/environment/documents/tree-management-plan-and-policy/baw-baw-tree-management-policy-may-2024.pdf
Mitchell,Mitchell Shire Council,https://www.mitchellshire.vic.gov.au,https://www.mitchellshire.vic.gov.au/residents/trees-and-nature-strips/managing-trees/removing-trees-shrubs-or-grasses-on-your-property,https://www.mitchellshire.vic.gov.au/plan-and-build/planning-services,(03) 5734 6200,,(Private trees governed via Planning Scheme),current,(overlay/native veg dependent),,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often,,,Council pages outline when planning permits are required for removing trees/vegetation on private land.,VERIFIED,2025-10-23,Adam (review),https://www.mitchellshire.vic.gov.au/residents/trees-and-nature-strips/managing-trees/removing-trees-shrubs-or-grasses-on-your-property,https://www.mitchellshire.vic.gov.au/plan-and-build/planning-services
Wellington,Wellington Shire Council,https://www.wellington.vic.gov.au,https://www.wellington.vic.gov.au/development/native-vegetation-removal,https://www.wellington.vic.gov.au/development/planning-enforcement,1300 366 244,,(Native vegetation removal governed via Planning Scheme),current,(overlay/native veg dependent),,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often,,,Council outlines native vegetation permit requirements and enforcement.,VERIFIED,2025-10-23,Adam (review),https://www.wellington.vic.gov.au/development/native-vegetation-removal,https://www.wellington.vic.gov.au/development/planning-enforcement
East Gippsland,East Gippsland Shire Council,https://www.eastgippsland.vic.gov.au,https://www.eastgippsland.vic.gov.au/environment-and-waste/native-vegetation,https://www.eastgippsland.vic.gov.au/building-and-development/planning-permits,(03) 5153 9500,,(Native vegetation removal usually requires planning permit),current,(overlay/native veg dependent),,Yes (native veg),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,,,Often (per application),,,Council explains native vegetation regulations and planning permit requirements.,VERIFIED,2025-10-23,Adam (review),https://www.eastgippsland.vic.gov.au/environment-and-waste/native-vegetation,https://www.eastgippsland.vic.gov.au/building-and-development/planning-permits
Benalla,Benalla Rural City Council,https://www.benalla.vic.gov.au,,https://www.benalla.vic.gov.au/residents/planning/,,,(Tree removal generally via Planning Scheme),current,,,Yes (native vegetation),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,Overlays (VPO/ESO/SLO/HO) may trigger,,Often (planning),,,Use Planning portal for permit requirements.,VERIFIED,2025-10-23,Adam,https://www.benalla.vic.gov.au/residents/planning/,
Buloke,Buloke Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Campaspe,Campaspe Shire Council,https://www.campaspe.vic.gov.au,,https://www.campaspe.vic.gov.au/Plan-build/Planning/Native-vegetation-removal,,,(Native vegetation removal requires planning permit unless exempt),current,,,Yes (native veg),,,,,,See DEECA/native vegetation exemptions,Yes (if eligible),Yes (Clause 52.12),,VicSmart may apply to some tree works,,Often (native veg),,,Native vegetation removal page and planning forms detail process.,VERIFIED,2025-10-23,Adam,https://www.campaspe.vic.gov.au/Plan-build/Planning/Native-vegetation-removal,https://www.campaspe.vic.gov.au/Plan-build/Planning/Forms-fees-resources
Central Goldfields,Central Goldfields Shire Council,https://www.centralgoldfields.vic.gov.au,https://www.centralgoldfields.vic.gov.au/About-Us/Governance-and-Strategy/Council-Plans/Tree-Management-Plan,https://www.centralgoldfields.vic.gov.au/Planning-building-and-local-laws/Planning,,,(Private trees via Planning Scheme; Tree Management Plan covers public trees),2025 (policy page),,,Yes (planning/native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,As required,,,Tree Management Plan is for Council-managed trees; private vegetation via planning.,VERIFIED,2025-10-23,Adam,https://www.centralgoldfields.vic.gov.au/About-Us/Governance-and-Strategy/Council-Plans/Tree-Management-Plan,
Colac Otway,Colac Otway Shire Council,https://www.colacotway.vic.gov.au,https://www.colacotway.vic.gov.au/Environment-Sustainability/Trees-and-vegetation,https://www.colacotway.vic.gov.au/Planning-building-and-local-laws/Planning,,,(Native vegetation protected; contact Planning before removal),current,,,Yes (native vegetation),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,,,Often,,,Trees & Vegetation page advises contacting Planning before removing native vegetation.,VERIFIED,2025-10-23,Adam,https://www.colacotway.vic.gov.au/Environment-Sustainability/Trees-and-vegetation,
Corangamite,Corangamite Shire Council,https://www.corangamite.vic.gov.au,,https://www.corangamite.vic.gov.au/Property/Planning/Statutory-Planning/Apply-for-a-planning-permit,,,(Tree/veg removal via Planning Scheme; overlays may apply),current,,,Yes (native veg),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,VicSmart may apply,,As required,,,Use 'Apply for a planning permit' page for vegetation/tree removal.,VERIFIED,2025-10-23,Adam,https://www.corangamite.vic.gov.au/Property/Planning/Statutory-Planning/Apply-for-a-planning-permit,
Gannawarra,Gannawarra Shire Council,https://www.gannawarra.vic.gov.au,,https://www.gannawarra.vic.gov.au/Planning-and-Building/Planning,,,(Native vegetation removal via Planning Scheme),current,,,Yes (native veg),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,,,As required,,,See Planning page and 'Applying for a Planning Permit'.,VERIFIED,2025-10-23,Adam,https://www.gannawarra.vic.gov.au/Planning-and-Building/Planning,https://www.gannawarra.vic.gov.au/Planning-and-Building/Planning/Applying-for-a-Planning-Permit
Glenelg,Glenelg Shire Council,https://www.glenelg.vic.gov.au,,https://www.glenelg.vic.gov.au/Our-Services/Planning-Services/Planning-Permits,,,(Tree removal via Planning; overlays may apply),current,,,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,As required,,,Planning permits page explains process.,VERIFIED,2025-10-23,Adam,https://www.glenelg.vic.gov.au/Our-Services/Planning-Services/Planning-Permits,
Golden Plains,Golden Plains Shire Council,https://www.goldenplains.vic.gov.au,https://www.goldenplains.vic.gov.au/sites/default/files/Tree%20Management%20Policy.pdf,https://www.goldenplains.vic.gov.au/residents/planning-and-building/planning,(03) 5220 7111,,(Private trees via Planning Scheme; policy excludes private land),2018 (policy),,,Yes (planning/native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,Policy states private property trees not included,,As required (planning),,,Use planning page; tree policy clarifies scope.,VERIFIED,2025-10-23,Adam (review),https://www.goldenplains.vic.gov.au/sites/default/files/Tree%20Management%20Policy.pdf,https://www.goldenplains.vic.gov.au/residents/planning-and-building/planning
Greater Shepparton,Greater Shepparton City Council,https://greatershepparton.com.au,https://greatershepparton.com.au/bpi/planning/statutory-planning/planning-faq,https://greatershepparton.com.au/council/applications-and-permits,(03) 5832 9700,,(Tree works governed via Planning Scheme; Local Law for nuisances),current,,,Yes (native veg provisions),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often,,,See Planning FAQs for tree removal/lopping requirements.,VERIFIED,2025-10-23,Adam (review),https://greatershepparton.com.au/bpi/planning/statutory-planning/planning-faq,https://greatershepparton.com.au/council/local-laws/property-and-neighbourhoods/overhanging-trees-and-plants
Hepburn,Hepburn Shire Council,https://www.hepburn.vic.gov.au,https://www.hepburn.vic.gov.au/Planning-building/Planning/Apply-for-a-planning-permit,https://www.hepburn.vic.gov.au/Planning-building/Planning,(03) 5348 2306,,(Tree removal managed under Planning; checklists include tree removal),current,,,Yes (native veg / overlays),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often (application checklists),,,Council planning page requires plans showing tree removal where relevant.,VERIFIED,2025-10-23,Adam (review),https://www.hepburn.vic.gov.au/Planning-building/Planning/Apply-for-a-planning-permit,
Hindmarsh,Hindmarsh Shire Council,https://www.hindmarsh.vic.gov.au,https://www.hindmarsh.vic.gov.au/Plan-and-Build/Planning-Services/Frequently-Asked-Questions,https://www.hindmarsh.vic.gov.au/Plan-and-Build/Planning-Services,,,(Planning FAQs cover permit triggers incl. vegetation),current,,,Yes (native veg),,,,,,Per planning/DEECA exemptions,Per planning,Yes (Clause 52.12),,,,As required,,,See FAQs and technical guidelines (public trees).,VERIFIED,2025-10-23,Adam,https://www.hindmarsh.vic.gov.au/Plan-and-Build/Planning-Services/Frequently-Asked-Questions,https://hindmarshshire.prelive.opencities.com/files/assets/public/v/1/residents/roads-footpaths-and-other-works/2018_11_21-adopted-hindmarsh-tree-technical-guidelines.pdf
Horsham,,,,,,,,,,,,,,,,,,,,,,,,,,PLACEHOLDER — needs verification from council website.,UNVERIFIED,2025-10-23,,,
Indigo,Indigo Shire Council,https://www.indigoshire.vic.gov.au,,https://www.indigoshire.vic.gov.au/Residents/Planning-built-heritage-and-building/Planning-Services_New/Do-I-need-a-planning-permit/When-do-I-need-a-planning-permit/For-residents/Removing-a-tree-and-other-native-vegetation,,,(Removing native vegetation usually needs a planning permit unless exempt),current,,,Yes (native veg),,,,,,Per DEECA exemptions,Per planning,Yes (Clause 52.12),,See planning application forms and checklists,,Often,,,Indigo page specifically addresses ‘Removing a tree and other native vegetation’.,VERIFIED,2025-10-23,Adam,https://www.indigoshire.vic.gov.au/Residents/Planning-built-heritage-and-building/Planning-Services_New/Do-I-need-a-planning-permit/When-do-I-need-a-planning-permit/For-residents/Removing-a-tree-and-other-native-vegetation,https://www.indigoshire.vic.gov.au/Residents/Planning-built-heritage-and-building/Planning-Services_New/Planning-application-forms-and-checklists
Loddon,Loddon Shire Council,https://www.loddon.vic.gov.au,,https://www.loddon.vic.gov.au/Our-Services/Planning-services/Planning-permits,,,(Planning permits may be required for removal of native vegetation),current,,,Yes (native vegetation),,,,,,Per DEECA/Planning exemptions,Per planning,Yes (Clause 52.12),,,,As required,,,Planning permits page lists ‘removal of native vegetation’ as a trigger.,VERIFIED,2025-10-23,Adam,https://www.loddon.vic.gov.au/Our-Services/Planning-services/Planning-permits,
Mansfield,Mansfield Shire Council,https://www.mansfield.vic.gov.au,https://www.mansfield.vic.gov.au/Community/Environment-Sustainability/Native-Vegetation-Wildlife,https://www.mansfield.vic.gov.au/Planning-Building-and-Local-Laws/Planning,,,(Native vegetation removal usually requires a planning permit unless exempt),current,,,Yes (native veg),,,,,,Per DEECA exemptions,Per planning,Yes (Clause 52.12),,Offsets may apply under native vegetation framework,,Often,,,‘Native Vegetation & Wildlife’ page outlines permit triggers and offsets approach.,VERIFIED,2025-10-23,Adam,https://www.mansfield.vic.gov.au/Community/Environment-Sustainability/Native-Vegetation-Wildlife,
Mildura,Mildura Rural City Council,https://www.mildura.vic.gov.au,https://www.mildura.vic.gov.au/Services/Planning-and-Building,https://www.mildura.vic.gov.au/Services/Planning-and-Building/Planning-Permits,(03) 5018 8100,,(Private tree works typically via Planning Scheme; VicSmart may apply),current,,,Yes (native veg provisions),,,,,,Per planning exemptions,Per planning,Yes (Clause 52.12),,,,Often (native veg),,,Planning hub covers native vegetation/tree removal pathways (incl. VicSmart).,VERIFIED,2025-10-23,Adam (review),https://www.mildura.vic.gov.au/Services/Planning-and-Building,
Moira,Moira Shire Council,https://www.moira.vic.gov.au,https://www.moira.vic.gov.au/Residents/Environment/Biodiversity/Native-vegetation,https://www.moira.vic.gov.au/Residents/Environment/Biodiversity/Native-vegetation/Removal-of-native-vegetation,,,(Illegal to remove native vegetation without permit unless exemption applies),current,,,Yes (native veg),,,,,,See DEECA exemptions; compliance page provided,Per planning,Yes (Clause 52.12),,,,Often (native veg),,,"Native vegetation pages (definitions, removal process, compliance).",VERIFIED,2025-10-23,Adam,https://www.moira.vic.gov.au/Residents/Environment/Biodiversity/Native-vegetation/Removal-of-native-vegetation,https://www.moira.vic.gov.au/Residents/Environment/Biodiversity/Native-vegetation
Moorabool,Moorabool Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Moreland,,,,,,,,,,,,,,,,,,,,,,,,,,PLACEHOLDER — needs verification from council website.,UNVERIFIED,2025-10-23,,,
Mount Alexander,Mount Alexander Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Murrindindi,Murrindindi Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Northern Grampians,Northern Grampians Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Pyrenees,Pyrenees Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Queenscliffe,Borough of Queenscliffe,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
South Gippsland,South Gippsland Shire Council,https://www.southgippsland.vic.gov.au,https://www.southgippsland.vic.gov.au/directory_record/4072/do_i_need_a_planning_permit_to_remove_a_tree_on_my_property,https://www.southgippsland.vic.gov.au/Planning,(03) 5662 9200,,(Tree removal often requires Planning Permit),current,,,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,Heritage or Environmental Significance overlays may trigger,,Often (per application),,,FAQ explicitly addresses tree removal permits on private property.,VERIFIED,2025-10-23,Adam (review),https://www.southgippsland.vic.gov.au/directory_record/4072/do_i_need_a_planning_permit_to_remove_a_tree_on_my_property,
Southern Grampians,Southern Grampians Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Strathbogie,Strathbogie Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Swan Hill,Swan Hill Rural City Council,https://www.swanhill.vic.gov.au,https://www.swanhill.vic.gov.au/Services/Environment/Trees-plants-and-ground-covers,https://www.swanhill.vic.gov.au/Services/Planning-building-and-development/Planning,(03) 5036 2333,,(Private vegetation removal via Planning Scheme),current,,,Yes (native veg),,,,,,Per planning (see DEECA guidelines),Per planning,Yes (Clause 52.12),,,,Often (native veg),,,Council page states a planning permit may be required to remove/lop vegetation on private land.,VERIFIED,2025-10-23,Adam (review),https://www.swanhill.vic.gov.au/Services/Environment/Trees-plants-and-ground-covers,https://www.swanhill.vic.gov.au/Services/Planning-building-and-development/Planning
Towong,Towong Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Wangaratta,Rural City of Wangaratta,https://www.wangaratta.vic.gov.au,https://www.wangaratta.vic.gov.au/Development/Planning,https://www.wangaratta.vic.gov.au/Development/Planning/Planning-forms-and-documents,(03) 5722 0888,,(Tree removal via Planning Scheme; VicSmart may apply),current,,,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,,,Often for native veg removal,,,Use planning forms and documents for vegetation removal/lopping.,VERIFIED,2025-10-23,Adam (review),https://www.wangaratta.vic.gov.au/Development/Planning,
Warrnambool,Warrnambool City Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
West Wimmera,West Wimmera Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
Wodonga,City of Wodonga,https://www.wodonga.vic.gov.au,https://www.wodonga.vic.gov.au/Building-Planning/Planning/Apply-for-a-planning-permit/Planning-forms-and-checklists,https://www.wodonga.vic.gov.au/Building-Planning/Planning,(02) 6022 9300,,(Tree removal/lopping via Planning Scheme; VicSmart may apply),current,,,Yes (native veg),,,,,,Per planning,Per planning,Yes (Clause 52.12),,See VicSmart checklist for eligible tree works,,As required (planning checklist),,,Planning checklists include native vegetation/tree removal pathways.,VERIFIED,2025-10-23,Adam (review),https://www.wodonga.vic.gov.au/Building-Planning/Planning/Apply-for-a-planning-permit/Planning-forms-and-checklists,
Yarriambiack,Yarriambiack Shire Council,,,,,,(Tree/vegetation removal generally via Planning Scheme; local laws may apply to nuisances),current,,,Yes (native vegetation provisions),,,,,,Per Planning Scheme exemptions,Per Planning Scheme,Yes (Clause 52.12),,Overlays (VPO/SLO/ESO/HO) may trigger permits; VicSmart may apply,,Often (case-by-case),,,Placeholder: needs specific council URL verification for private-tree guidance.,UNVERIFIED,2025-10-23,,,
